Plot_ID,Latitude,Longitude
FID_494,33.24614,77.134484
FID_510,33.246901,77.072586
FID_486,34.396902,76.260895
FID_489,34.435457,75.683054
FID_492,34.438503,75.911685
FID_495,33.528398,76.851476
FID_496,33.63743,76.666772
FID_503,32.982529,77.254786
FID_508,33.25782,77.170785
FID_511,33.77064,76.846356
FID_512,33.826115,76.874524
FID_515,33.381497,76.930029
FID_516,33.734063,76.864421
FID_520,33.528788,76.855976
FID_523,33.724702,76.486657
FID_524,32.968841,77.256195
FID_527,32.983128,77.247671
FID_528,33.546215,76.997619
FID_529,33.854982,76.358729
FID_535,33.014986,77.243654
FID_547,33.497256,76.869888
FID_550,33.512043,76.993911
FID_555,33.539582,76.937039
FID_556,33.41426,76.890347
FID_559,33.492418,76.956226
FID_561,33.491452,76.95797
FID_571,33.415096,76.892112
FID_576,33.523128,76.774031
FID_585,33.863463,76.356825
FID_587,33.696374,76.573542
FID_598,33.91014,76.327344
FID_611,34.042374,76.388517
FID_619,34.039893,76.383619
FID_621,34.047653,76.341028
FID_634,33.203015,77.156974
FID_642,34.047049,76.314388
FID_643,33.132344,77.214691
FID_648,34.051828,76.365256
FID_649,34.072087,76.155802
FID_670,34.5679,76.51318333
FID_671,34.20501667,75.92963333
FID_672,34.0619,75.92543333
FID_673,34.08281667,76.11298333
FID_674,34.07058333,76.16385
FID_675,34.04486667,76.2371
FID_676,33.98968333,76.3726
FID_677,33.80275,76.44393333
FID_678,33.77005,76.46368333
FID_679,33.9896,76.36566667
FID_680,34.00898333,76.37556667
FID_681,34.58186667,75.98935
FID_682,34.363136,76.33411
FID_683,34.37373333,76.19493333
FID_684,34.37636667,76.1984
FID_685,34.21771667,76.13915
FID_686,34.27141667,75.99738333
FID_687,34.3805,76.42376667
FID_688,34.38173333,76.2137
FID_689,34.3931,76.29833333
FID_690,34.57695,76.20921667
FID_691,34.58136667,76.23571667
FID_692,34.58945,76.29203333
FID_15,34.35251,76.074268
FID_21,34.412842,75.882268
FID_23,34.41052,75.658975
FID_28,34.358783,76.238653
FID_29,34.35133,76.223623
FID_32,34.386195,76.256623
FID_36,34.379555,76.245077
FID_38,34.396217,76.306841
FID_121,33.574262,76.685557
FID_126,33.572773,76.679963
FID_127,33.462565,76.848341
FID_129,34.257557,75.970828
FID_133,34.569636,75.986941
FID_138,34.547648,76.611643
FID_143,33.715104,76.891038
FID_146,34.5856054,76.2751171
FID_147,34.37549,76.4754
FID_153,33.508176,76.951262
FID_234,34.475984,76.131124
FID_272,34.507891,76.153413
FID_279,34.096182,75.94037
FID_300,34.3756,76.1959
FID_301,34.6616,76.3108
FID_311,34.5969,76.2941
FID_314,33.8528,76.3804
FID_333,34.2148,75.9606
FID_335,34.592763,76.00672
FID_316,34.394269,76.189016
FID_481,34.297586,75.481069
FID_476,34.3293,75.5783
FID_370,34.4044,75.6403
FID_344,34.4343,75.6932
FID_380,34.3687,75.9831
FID_461,34.4164,75.9813
FID_462,34.4168,75.9832
FID_448,34.3642,76.1062
FID_336,34.5623,75.9878
FID_410,34.1088,75.9463
FID_420,34.1803,75.9278
FID_350,34.3295,75.8828
FID_356,34.3289,75.8804
FID_343,34.328164,75.880991
FID_341,34.4395,75.9126
FID_431,34.2672,75.9899
FID_433,34.2682,75.9911
FID_450,34.3589,76.1396
FID_458,34.3785,76.1867
FID_391,34.3823,76.2185
FID_386,34.3816,76.2184
FID_395,34.3842,76.2062
FID_397,34.4023,76.3884
FID_351,33.7267,76.4975
FID_446,34.358534,76.078732
